rank,country,points
1,Francia,1877
2,España,1876
3,Argentina,1875
4,Inglaterra,1826
5,Portugal,1764
6,Brasil,1761
7,Países Bajos,1758
8,Marruecos,1756
9,Bélgica,1735
10,Alemania,1730
11,Croacia,1717
12,Italia,1700
13,Colombia,1693
14,Senegal,1689
15,México,1681
16,Estados Unidos,1673
17,Uruguay,1673
18,Japón,1660
19,Suiza,1649
20,Dinamarca,1621
21,Irán,1615
22,Turquía,1599
23,Ecuador,1595
24,Austria,1593
25,Corea del Sur,1589
26,Nigeria,1585
27,Australia,1581
28,Argelia,1564
29,Egipto,1563
30,Canadá,1556
31,Noruega,1551
32,Ucrania,1547
33,Panamá,1541
34,Costa de Marfil,1533
35,Polonia,1528
36,Rusia,1526
37,Gales,1524
38,Suecia,1515
39,Serbia,1509
40,Paraguay,1504
41,Chequia,1501
42,Hungría,1501
43,Escocia,1498
44,Túnez,1483
45,Camerún,1481
46,RD Congo,1478
47,Grecia,1476
48,Eslovaquia,1474
49,Venezuela,1468
50,Uzbekistán,1465
51,Costa Rica,1460
52,Malí,1459
53,Perú,1456
54,Chile,1455
55,Catar,1455
56,Rumanía,1451
57,Irak,1447
58,Eslovenia,1446
59,Irlanda,1437
60,Sudáfrica,1430
61,Arabia Saudita,1421
62,Burkina Faso,1412
63,Jordania,1391
64,Albania,1388
65,Bosnia,1386
66,Honduras,1380
67,Macedonia Norte,1372
68,EAU,1370
69,Cabo Verde,1366
70,Irlanda Norte,1362
71,Jamaica,1358
72,Georgia,1350
73,Finlandia,1346
74,Ghana,1346
75,Islandia,1345
76,Bolivia,1329
77,Israel,1328
78,Kosovo,1319
79,Omán,1313
80,Guinea,1300
81,Montenegro,1296
82,Curazao,1295
83,Haití,1292
84,Siria,1289
85,Nueva Zelanda,1282
86,Bulgaria,1279
87,Gabón,1273
88,Uganda,1264
89,Angola,1263
90,Benín,1259
91,Baréin,1259
92,Zambia,1256
93,Tailandia,1252
94,China,1252
95,Palestina,1245
96,Guatemala,1243
97,Bielorrusia,1236
98,Luxemburgo,1228
99,Vietnam,1226
100,El Salvador,1225
