liga,home,away,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_-0.75,hdp_away_0.75,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,hdp_home_-1.0,hdp_away_1.0,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,hdp_home_-0.25,hdp_away_0.25,goles_tt_away_1.5_over,goles_tt_away_1.5_under,hdp_home_0.5,hdp_away_-0.5,goles_tt_home_0.5_over,goles_tt_home_0.5_under,hdp_home_0.25,hdp_away_-0.25,hdp_home_-0.5,hdp_away_0.5,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,hdp_home_0.0,hdp_away_-0.0,goles_3.25_over,goles_3.25_under,goles_2.25_over,goles_2.25_under,hdp_home_-1.5,hdp_away_1.5,goles_tt_home_2.5_over,goles_tt_home_2.5_under,hdp_home_-1.25,hdp_away_1.25
Premier League,Brentford,Crystal Palace,2026-05-17 10:00,1.6897,4.62,4.37,1.885,2.02,1.8621,2.04,1.2571,4.04,1.6667,2.25,1.463,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Manchester United,Nottingham Forest,2026-05-17 07:30,1.6494,4.96,4.36,,,,,,,1.5882,2.42,1.4608,2.79,2.07,1.8475,2.0,1.885,1.2688,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Newcastle United,West Ham United,2026-05-17 12:30,2.22,3.14,3.76,,,,,,,1.8264,2.02,,,,,1.8929,2.0,1.2404,4.26,1.9524,1.9524,2.22,1.6849,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Wolverhampton,Fulham,2026-05-17 10:00,3.86,1.9259,3.91,,,2.01,1.8772,1.295,3.69,,,,,,,,,,,,,1.8772,1.9615,1.9709,1.9346,1.4132,2.98,,,,,,,,,,,,,,,,,,,,
Premier League,Leeds United,Brighton,2026-05-17 10:00,3.38,2.12,3.74,,,1.8403,2.06,1.2475,4.17,2.48,1.5618,,,,,,,,,,,1.9259,1.9091,,,,,2.06,1.8547,,,,,,,,,,,,,,,,,,
Premier League,Everton,Sunderland,2026-05-17 10:00,1.8547,4.19,3.87,,,,,,,1.8696,1.9615,1.4525,2.82,,,,,,,,,,,,,,,,,1.8696,2.05,1.8403,2.06,1.2625,4.02,,,,,,,,,,,,
La Liga,Nantes,Toulouse,2026-05-17 15:00,2.6,2.61,3.56,,,2.0,1.8547,1.2882,3.62,2.32,1.6098,,,,,,,,,,,2.3,1.6211,,,,,,,,,,,,,1.9346,1.9346,,,,,,,,,,
La Liga,Lorient,Le Havre,2026-05-17 15:00,2.64,2.59,3.51,,,,,,,2.44,1.5587,,,,,,,,,,,2.43,1.5587,,,,,,,,,1.9174,1.9346,1.2801,3.68,1.9524,1.9174,,,,,,,,,,
La Liga,Strasbourg,Monaco,2026-05-17 15:00,3.05,2.14,3.91,,,,,,,2.11,1.7299,,,,,,,,,,,1.7353,2.1,,,,,1.9709,1.9009,,,,,,,,,1.9434,1.9091,1.3322,3.31,,,,,,
La Liga,Lyon,Lens,2026-05-17 15:00,1.7092,4.33,4.2,1.9259,1.9434,,,,,1.5882,2.37,,,,,1.9434,1.9091,1.2457,4.0,,,2.89,1.4167,,,,,,,,,,,,,,,,,,,,,,,,
La Liga,Nice,Metz,2026-05-17 15:00,1.303,9.37,5.46,,,,,,,,,1.7299,2.1,,,1.9259,1.9259,1.2551,3.91,,,,,,,,,,,,,,,,,,,,,,,1.9524,1.9174,2.25,1.6452,,
La Liga,Brest,Angers,2026-05-17 15:00,1.8333,4.18,3.72,,,,,,,1.8772,1.9259,1.4739,2.67,,,,,,,,,,,,,,,,,1.8475,2.03,1.8621,1.9901,1.2725,3.75,,,,,,,,,,,,
La Liga,Lille,Auxerre,2026-05-17 15:00,1.3663,8.13,4.95,,,1.9091,1.9434,1.2695,3.77,,,1.7752,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,1.5208,1.8621,2.01
