liga,home,away,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_-1.0,hdp_away_1.0,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_10.0_over,corners_total_10.0_under,corners_home_5.5_over,corners_home_5.5_under,corners_away_3.5_over,corners_away_3.5_under,hdp_home_0.25,hdp_away_-0.25,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_4.5_over,corners_away_4.5_under,hdp_home_0.0,hdp_away_-0.0,corners_total_10.5_over,corners_total_10.5_under,hdp_home_-0.75,hdp_away_0.75,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,corners_total_11.0_over,corners_total_11.0_under,hdp_home_-0.25,hdp_away_0.25,goles_1.0_over,goles_1.0_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,hdp_home_-1.25,hdp_away_1.25,goles_3.25_over,goles_3.25_under,goles_2.25_over,goles_2.25_under,goles_tt_home_2.5_over,goles_tt_home_2.5_under
Serie A,Lazio,Pisa,2026-05-23 14:45,1.565,5.91,4.36,1.9804,1.9259,2.06,1.8403,1.3165,3.52,1.6667,2.26,1.6452,2.29,2.52,1.4975,1.8772,1.8929,2.17,1.6536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A,Bologna,Internazionale,2026-05-23 12:00,3.17,2.22,3.72,,,,,,,2.33,1.6289,,,2.41,1.5319,,,,,1.9615,1.9434,1.9615,1.9259,1.2571,4.04,1.8696,1.9615,2.08,1.6993,1.8065,1.9615,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A,Fiorentina,Atalanta,2026-05-22 14:45,2.58,2.69,3.64,,,1.8403,2.06,1.2347,4.29,2.13,1.7407,,,,,,,,,,,,,,,2.19,1.7042,1.9615,1.8,1.8264,1.9434,1.9091,1.9901,2.46,1.5102,,,,,,,,,,,,,,,,,,,,,,
La Liga,Celta Vigo,Sevilla,2026-05-23 15:00,1.7874,4.81,3.73,,,,,,,1.8929,1.9434,1.5587,2.49,2.5,1.4926,,,1.641,2.17,,,,,,,,,1.7937,1.9615,,,,,,,2.03,1.8772,1.9804,1.9091,1.3058,3.63,,,,,,,,,,,,,,,,
La Liga,Espanyol,Real Sociedad,2026-05-23 15:00,2.53,2.84,3.49,,,,,,,2.27,1.6579,,,,,2.14,1.6623,,,,,,,,,2.47,1.5682,,,1.9174,1.8403,1.8475,2.07,,,,,1.8475,2.05,1.2604,4.04,2.44,1.5208,,,,,,,,,,,,,,
La Liga,Getafe,Osasuna,2026-05-23 15:00,2.51,3.7,2.75,,,,,,,,,1.6061,2.38,2.64,1.4444,,,1.7519,2.01,,,,,2.1,1.8065,,,1.7519,2.01,,,,,,,,,,,,,,,2.08,1.8403,1.2101,4.67,1.4049,3.02,,,,,,,,
La Liga,Real Madrid,Athletic Bilbao,2026-05-23 15:00,1.5,6.03,4.86,,,,,,,,,1.495,2.67,,,1.6711,2.12,1.6623,2.14,,,,,,,,,,,,,,,,,,,,,,,2.29,1.5848,,,,,,,2.05,1.8696,2.05,1.8475,1.361,3.26,2.42,1.5848
La Liga,Girona,Elche,2026-05-23 15:00,1.7874,4.4,4.02,,,1.9346,1.9524,1.2755,3.89,1.7576,2.11,1.4348,2.89,,,1.9091,1.8547,1.6897,2.09,,,,,,,,,,,,,,,,,2.03,1.8772,,,,,2.7,1.4274,,,,,,,,,,,,,,
La Liga,Real Betis,Levante,2026-05-23 15:00,2.28,3.54,3.21,,,1.8621,2.03,1.2375,4.29,1.9174,1.9174,,,,,1.813,1.9434,1.7752,1.9901,,,,,,,2.4,1.5952,,,,,,,,,,,,,,,2.58,1.4651,1.9434,1.9615,,,,,,,,,,,,
La Liga,Alaves,Rayo Vallecano,2026-05-23 15:00,2.47,2.99,3.4,,,,,,,2.41,1.5917,,,,,1.9524,1.8065,,,,,,,,,2.76,1.4695,,,2.03,1.7353,,,,,,,2.02,1.8696,1.3125,3.58,2.49,1.5,2.14,1.8,,,,,,,,,,,,
La Liga,Mallorca,Real Oviedo,2026-05-23 15:00,1.4739,7.19,4.53,,,,,,,1.6369,2.31,1.813,2.03,,,1.6623,2.14,1.9346,1.8264,,,,,,,,,,,,,,,2.29,1.5882,,,1.9259,1.9615,1.2907,3.75,,,,,,,,,2.1,1.8197,,,,,,
