liga,home,away,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_-0.25,hdp_away_0.25,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_10.5_over,corners_total_10.5_under,corners_home_5.5_over,corners_home_5.5_under,corners_away_4.5_over,corners_away_4.5_under,hdp_home_1.25,hdp_away_-1.25,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_total_11.0_over,corners_total_11.0_under,corners_home_3.5_over,corners_home_3.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_-0.75,hdp_away_0.75,goles_2.25_over,goles_2.25_under,goles_1.25_over,goles_1.25_under,corners_away_3.5_over,corners_away_3.5_under,corners_total_10.0_over,corners_total_10.0_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under,corners_away_6.5_over,corners_away_6.5_under,hdp_home_0.0,hdp_away_-0.0,corners_home_4.5_over,corners_home_4.5_under,corners_total_11.5_over,corners_total_11.5_under,hdp_home_-2.0,hdp_away_2.0,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,goles_tt_home_2.5_over,goles_tt_home_2.5_under,corners_home_7.5_over,corners_home_7.5_under,corners_away_2.5_over,corners_away_2.5_under,hdp_home_0.5,hdp_away_-0.5,corners_total_9.5_over,corners_total_9.5_under,hdp_home_-1.75,hdp_away_1.75,corners_home_6.5_over,corners_home_6.5_under,goles_1.0_over,goles_1.0_under,hdp_home_-1.0,hdp_away_1.0,hdp_home_0.25,hdp_away_-0.25
La Liga,Real Betis,Real Sociedad,2026-08-21 15:00,2.1,3.7,3.48,1.8197,2.11,1.9804,1.9091,1.2959,3.71,2.11,1.7576,1.4219,2.94,2.44,1.5319,2.11,1.6803,2.17,1.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Liga,Espanyol,Real Madrid,2026-08-22 15:30,7.74,1.4329,4.74,,,,,,,,,,,,,,,,,1.9091,2.0,1.9259,1.9615,1.2755,3.89,1.7194,2.16,1.5155,2.61,2.37,1.5618,1.7194,2.05,1.7874,1.9804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Liga,Athletic Bilbao,Sevilla,2026-08-22 11:00,1.7407,5.08,3.76,,,,,,,2.06,1.7874,1.7812,2.07,2.34,1.578,1.7246,2.04,,,,,,,,,,,,,,,,,,,1.9804,1.9259,2.03,1.8621,1.2703,3.94,1.9174,1.8475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Liga,Valencia,Celta Vigo,2026-08-22 13:30,2.38,3.24,3.28,2.04,1.8696,,,,,2.61,1.5128,1.4673,2.77,,,2.11,1.6757,,,,,,,,,,,,,,,,,,,,,2.03,1.8621,1.2717,3.92,1.813,1.9524,2.42,1.5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Hull City,Manchester United,2026-08-22 07:30,8.44,1.3953,4.92,,,,,,,,,,,,,,,,,2.06,1.8547,1.8475,2.05,1.2506,4.14,1.7752,2.09,,,2.53,1.4926,1.9174,1.8547,,,,,,,,,,,,,2.5,1.5556,2.1,1.6849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,Crystal Palace,2026-08-22 10:00,2.22,3.4,3.47,1.9174,1.9901,1.9615,1.9259,1.2967,3.7,2.16,1.7194,,,2.28,1.6061,1.9804,1.7874,2.16,1.6452,,,,,,,,,2.95,1.4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Nottingham Forest,Leeds United,2026-08-22 10:00,2.31,3.22,3.45,2.0,1.9091,1.9615,1.9259,1.2933,3.73,2.24,1.6757,,,2.27,1.6098,1.9346,1.8333,2.15,1.6536,,,,,,,,,2.84,1.4464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Ipswich Town,Sunderland,2026-08-22 10:00,2.77,2.72,3.28,,,2.03,1.8621,1.3106,3.6,2.6,1.5181,,,2.37,1.5587,,,2.0,1.7634,,,,,,,,,2.57,1.5263,,,,,,,,,,,,,,,,,,,,,1.9709,1.9346,1.6173,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Brentford,Tottenham Hotspur,2026-08-22 12:30,2.47,2.8,3.69,,,,,,,2.08,1.7752,,,,,2.03,1.7407,1.7812,1.9804,,,1.885,2.0,1.2519,4.13,,,2.3,1.641,,,,,,,,,,,,,,,,,,,,,1.8333,2.09,,,2.49,1.5102,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,Coventry City,2026-08-21 15:00,1.1859,15.49,7.46,,,,,,,,,2.33,1.6173,,,,,,,,,,,,,,,,,2.42,1.5376,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.8929,1.9524,1.9174,1.2653,3.88,1.9804,1.8403,2.02,1.7463,1.9009,1.8621,,,,,,,,,,,,,,
Serie A,Genoa,Napoli,2026-08-22 14:45,5.13,1.8772,3.25,,,,,,,,,,,,,,,1.7042,2.08,,,,,,,1.7299,2.15,2.18,1.7143,,,2.09,1.6944,,,,,2.09,1.8197,1.289,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.885,2.43,1.5319,,,,,,,,,,
Serie A,Internazionale,Monza,2026-08-22 12:30,1.2016,13.78,7.26,,,,,,,,,2.28,1.641,2.55,1.4854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.8772,1.2793,3.78,2.07,1.7692,,,1.8547,1.9091,,,,,1.8403,2.06,1.8475,1.9174,,,,,,
Serie A,Udinese,Como,2026-08-22 12:30,4.68,1.8333,3.62,,,,,,,,,,,,,,,1.6944,2.09,,,,,,,1.6369,2.31,2.06,1.7937,,,1.8197,1.9434,,,,,1.9091,1.9804,1.2392,4.28,,,2.56,1.4831,,,,,,,,,,,,,,,,,,,,,,,2.08,1.8403,,,,,,,,,,,,
