liga,home,away,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_0.75,hdp_away_-0.75,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_total_10.5_over,corners_total_10.5_under,corners_home_3.5_over,corners_home_3.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_0.5,hdp_away_-0.5,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_4.5_over,corners_away_4.5_under,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,corners_total_11.0_over,corners_total_11.0_under,hdp_home_-1.25,hdp_away_1.25,goles_3.25_over,goles_3.25_under,goles_2.25_over,goles_2.25_under,goles_tt_home_2.5_over,goles_tt_home_2.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_11.5_over,corners_total_11.5_under,corners_home_6.5_over,corners_home_6.5_under,corners_away_3.5_over,corners_away_3.5_under,corners_home_5.5_over,corners_home_5.5_under,hdp_home_-0.25,hdp_away_0.25,hdp_home_0.0,hdp_away_-0.0,hdp_home_-0.5,hdp_away_0.5,corners_total_10.0_over,corners_total_10.0_under,goles_1.0_over,goles_1.0_under,corners_total_9.5_over,corners_total_9.5_under
Ligue 1,Angers,Lille,2026-08-23 09:00,5.03,1.7519,3.74,1.9174,1.9901,2.06,1.8403,1.3344,3.43,1.6289,2.33,1.9174,1.9174,2.52,1.4878,1.9901,1.7752,1.8621,1.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Le Havre,Monaco,2026-08-23 11:15,3.71,1.9524,3.95,,,,,,,,,1.7634,2.1,2.5,1.495,,,,,1.9434,1.9615,2.01,1.8772,1.2688,3.95,2.65,1.5,2.15,1.6536,1.6944,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Fulham,Chelsea,2026-08-24 15:00,4.0,1.8621,4.01,,,,,,,,,1.7519,2.12,,,,,2.12,1.6711,2.04,1.8696,,,,,2.87,1.4386,1.6993,2.08,,,1.8621,2.04,1.2519,4.13,2.34,1.5747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Manchester City,Bournemouth,2026-08-23 09:00,1.5025,6.02,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.8621,1.9009,1.9901,1.3115,3.59,2.3,1.641,1.431,2.9,2.29,1.5988,1.6849,2.1,2.04,1.7246,,,,,,,,,,,,,,
Premier League,Newcastle United,Liverpool,2026-08-23 11:30,3.82,1.9434,3.88,,,,,,,,,1.6667,2.25,,,,,2.02,1.7407,1.9524,1.9524,,,,,2.47,1.5682,,,,,,,,,,,,,2.07,1.8333,1.369,3.15,,,,,2.33,1.5814,,,,,2.12,1.6711,,,,,,,,,,,,
Premier League,Brighton,Aston Villa,2026-08-23 09:00,2.24,3.27,3.57,,,1.8475,2.05,1.2604,4.04,,,2.73,1.4762,,,,,,,,,,,,,2.1,1.7576,,,2.1,1.6849,,,,,2.55,1.4878,,,,,,,,,,,,,,,,,1.9434,1.8197,1.9434,1.9615,,,,,,,,,,
La Liga,Valencia,Real Betis,2026-08-25 15:00,2.68,2.7,3.27,,,1.9709,1.8696,1.2907,3.57,,,2.52,1.5128,,,,,,,,,,,,,2.52,1.5155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9174,1.9346,,,,,,,,
La Liga,Osasuna,Levante,2026-08-24 13:30,1.8547,4.52,3.65,,,2.08,1.8264,1.3367,3.41,,,,,,,,,,,,,,,,,2.0,1.8403,,,,,,,,,,,,,,,,,,,1.5714,2.46,,,,,1.7937,1.9709,2.01,1.7519,,,,,1.8621,2.05,2.31,1.5882,,,,
La Liga,Atletico Madrid,Villarreal,2026-08-23 11:00,1.8696,4.18,3.82,,,,,,,,,,,,,,,,,,,,,,,1.8696,1.9709,,,,,2.05,1.8475,1.3135,3.57,2.52,1.5,,,,,,,,,1.4464,2.84,,,,,1.6757,2.12,1.813,1.9524,,,,,1.8772,2.03,,,,,,
La Liga,Malaga,Deportivo La Coruna,2026-08-24 15:30,2.65,3.13,2.97,,,,,,,1.4098,2.99,,,,,,,,,,,,,1.9434,1.9434,,,1.7937,1.9709,,,,,,,,,,,,,,,,,1.4902,2.68,,,,,1.7299,2.04,,,,,1.8,2.13,,,2.64,1.4566,1.1623,5.36,,
La Liga,Getafe,Racing Santander,2026-08-23 13:30,2.27,3.95,2.94,,,,,,,,,,,,,,,,,,,,,2.08,1.8264,2.82,1.4525,1.6803,2.11,,,,,,,,,,,,,,,,,1.6711,2.25,,,,,1.9259,1.8333,,,1.9091,2.0,,,,,,,1.1883,4.86,2.33,1.578
