liga,home,away,inicio_utc,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_-0.5,hdp_away_0.5,goles_2.25_over,goles_2.25_under,goles_1.25_over,goles_1.25_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_11.5_over,corners_total_11.5_under,corners_home_5.5_over,corners_home_5.5_under,corners_away_4.5_over,corners_away_4.5_under,hdp_home_1.0,hdp_away_-1.0,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_home_3.5_over,corners_home_3.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_0.75,hdp_away_-0.75,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,corners_total_10.5_over,corners_total_10.5_under,hdp_home_-2.5,hdp_away_2.5,goles_3.5_over,goles_3.5_under,goles_3.0_over,goles_3.0_under,goles_tt_home_2.5_over,goles_tt_home_2.5_under,corners_home_7.5_over,corners_home_7.5_under,corners_away_1.5_over,corners_away_1.5_under,hdp_home_-1.0,hdp_away_1.0,corners_total_11.0_over,corners_total_11.0_under,corners_away_3.5_over,corners_away_3.5_under,hdp_home_-0.75,hdp_away_0.75,hdp_home_2.0,hdp_away_-2.0,goles_2.0_over,goles_2.0_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under,corners_home_2.5_over,corners_home_2.5_under,hdp_home_0.25,hdp_away_-0.25,goles_0.75_over,goles_0.75_under,hdp_home_-3.5,hdp_away_3.5,goles_4.25_over,goles_4.25_under,goles_3.75_over,goles_3.75_under,goles_tt_home_3.5_over,goles_tt_home_3.5_under,corners_total_12.0_over,corners_total_12.0_under,corners_home_8.5_over,corners_home_8.5_under,goles_1.0_over,goles_1.0_under,corners_total_10.0_over,corners_total_10.0_under,corners_home_4.5_over,corners_home_4.5_under,hdp_home_1.25,hdp_away_-1.25
FIFA - World Cup,Sweden,Tunisia,2026-06-15T02:00:00Z,2026-06-14 22:00,1.9259,4.32,3.52,1.9346,1.9709,1.9709,1.9174,1.2525,4.08,2.17,1.7042,1.6024,2.36,3.05,1.3125,2.02,1.7463,2.11,1.6757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Haiti,Scotland,2026-06-14T01:00:00Z,2026-06-13 21:00,6.25,1.5556,4.6,,,,,,,,,,,3.37,1.2667,,,,,2.03,1.9091,1.8475,2.07,1.2481,4.13,1.5714,2.43,1.5495,2.48,1.8696,1.9174,1.8696,1.9174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Australia,Turkiye,2026-06-14T04:00:00Z,2026-06-14 00:00,5.53,1.7042,3.9,,,,,,,,,,,,,,,,,,,,,,,1.6667,2.23,1.8621,1.9615,2.15,1.6667,1.9709,1.8065,2.02,1.9091,2.08,1.8403,1.3344,3.4,2.82,1.3731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Spain,Cape Verde,2026-06-15T16:00:00Z,2026-06-15 12:00,1.0782,28.26,11.53,,,,,,,,,2.73,1.4219,3.11,1.3012,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9434,1.9091,2.01,1.8333,1.5618,2.38,1.5814,2.28,1.9346,1.8333,1.6536,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,France,Senegal,2026-06-16T19:00:00Z,2026-06-16 15:00,1.4762,7.31,4.46,,,,,,,1.6711,2.22,1.8475,1.9709,,,1.7143,2.06,,,,,,,,,,,,,,,,,,,2.01,1.8772,1.3155,3.56,,,,,,,,,,,,,,,1.8197,2.1,3.14,1.2941,2.21,1.6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Belgium,Egypt,2026-06-15T19:00:00Z,2026-06-15 15:00,1.6135,5.82,4.07,,,,,,,1.7937,2.04,1.6757,2.22,,,1.7874,1.9709,,,,,,,,,,,,,,,,,,,2.01,1.8772,1.3236,3.5,,,,,,,,,,,,,,,,,3.08,1.3049,2.05,1.7194,1.8065,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Iraq,Norway,2026-06-16T22:00:00Z,2026-06-16 18:00,15.62,1.1912,7.55,,,,,,,,,,,,,,,,,,,,,,,2.3,1.6329,,,,,1.7092,2.07,,,,,,,2.96,1.3311,,,,,1.9615,1.9259,,,,,,,,,,,,,,,1.8772,2.03,1.2618,4.02,2.02,1.8065,1.9524,1.8065,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Netherlands,Japan,2026-06-14T20:00:00Z,2026-06-14 16:00,2.05,3.7,3.62,2.06,1.8547,,,,,2.04,1.8,1.4484,2.8,,,2.17,1.6452,,,,,,,,,,,,,,,,,,,1.9615,1.9259,1.2967,3.67,,,,,,,,,,,,,,,,,3.23,1.2793,1.7519,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Ivory Coast,Ecuador,2026-06-14T23:00:00Z,2026-06-14 19:00,3.58,2.49,2.83,,,,,,,,,1.4132,2.94,,,,,1.9804,1.7812,,,,,1.8264,2.08,1.6098,2.34,,,1.6329,2.18,,,,,,,,,3.0,1.3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8403,2.08,1.1678,5.38,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Germany,Curacao,2026-06-14T17:00:00Z,2026-06-14 13:00,1.04,41.0,21.0,,,,,,,,,2.77,1.3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7692,1.9901,,,,,,,,,,,,,,,,,,,,,2.02,1.8403,1.9174,1.9174,1.565,2.37,1.641,2.08,3.4,1.2525,2.02,1.7463,,,,,,,,
