Date,Time,HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Competition,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
2026-06-17 00:00:00,02:00:00,Argentina,Algeria,10,7,6,0,2,2,13,8,0,0,0,0,World Cup 2026,3,0,1,0,2,0,,,,,90 minutes,1.26,0.33,1.55,4,6.5,1.58,4.2,7.4,1.55,4.2,7.1,1.51,4.06,6.48
2026-06-17 00:00:00,05:00:00,Austria,Jordan,11,11,4,4,4,3,12,7,1,0,0,0,World Cup 2026,3,1,1,0,2,1,,,,,90 minutes,1.69,0.46,1.4,4.75,8,1.43,5,9.6,1.4,4.8,9.2,1.38,4.69,8.33
2026-06-17 00:00:00,18:00:00,Portugal,D.R. Congo,7,8,1,2,5,4,9,10,3,1,0,0,World Cup 2026,1,1,1,1,0,0,,,,,90 minutes,0.65,0.87,1.29,5.25,11,1.3,6,14.5,1.29,6,12,1.26,5.54,11.37
2026-06-17 00:00:00,21:00:00,England,Croatia,22,10,11,5,8,2,10,12,0,0,0,0,World Cup 2026,4,2,2,2,2,0,,,,,90 minutes,3.21,0.7,1.67,3.9,5.25,1.7,4,5.9,1.68,3.9,5.6,1.65,3.78,5.29
2026-06-18 00:00:00,00:00:00,Ghana,Panama,8,11,2,4,2,2,9,11,1,2,0,0,World Cup 2026,1,0,0,0,1,0,,,,,90 minutes,1.31,0.73,2.35,3.2,3.2,2.46,3.25,3.45,2.38,3.25,3.38,2.3,3.16,3.18
2026-06-18 00:00:00,03:00:00,Uzbekistan,Colombia,8,15,2,4,3,4,14,11,1,1,0,0,World Cup 2026,1,3,0,1,1,2,,,,,90 minutes,1.16,1.61,11,5.25,1.3,12.5,5.4,1.35,11.5,5.5,1.37,9.97,5.16,1.31
2026-06-18 00:00:00,17:00:00,Czech Republic,South Africa,14,17,3,4,5,5,12,10,1,2,0,0,World Cup 2026,1,1,1,0,0,1,,,,,90 minutes,1.02,1.38,1.85,3.5,4.2,1.97,3.5,4.7,1.88,3.55,4.6,1.84,3.41,4.33
2026-06-18 00:00:00,20:00:00,Switzerland,Bosnia & Herzegovina,13,5,7,3,7,3,7,18,1,2,0,1,World Cup 2026,4,1,0,0,4,1,,,,,90 minutes,2.06,0.23,1.53,4,6.5,1.58,4.3,7,1.55,4.2,6.5,1.52,4.12,6.15
2026-06-18 00:00:00,23:00:00,Canada,Qatar,32,2,10,0,19,1,9,10,1,1,0,2,World Cup 2026,6,0,3,0,3,0,,,,,90 minutes,4.6,0.22,1.25,6,12,1.27,6.4,15.5,1.29,6.5,13.5,1.25,5.84,11.38
2026-06-19 00:00:00,02:00:00,Mexico,South Korea,8,9,4,2,0,2,9,7,0,2,0,0,World Cup 2026,1,0,0,0,1,0,,,,,90 minutes,0.52,0.91,2,3.25,4,2.12,3.2,4.5,2.13,3.3,4.1,2.02,3.19,3.94
2026-06-19 00:00:00,20:00:00,USA,Australia,10,5,2,2,7,4,12,16,3,4,0,0,World Cup 2026,2,0,2,0,0,0,,,,,90 minutes,1.08,0.34,1.53,4.33,5.75,1.61,4.5,6,1.61,4.4,6.5,1.55,4.08,5.79
2026-06-19 00:00:00,23:00:00,Scotland,Morocco,6,12,0,2,2,5,11,8,1,1,0,0,World Cup 2026,0,1,0,1,0,0,,,,,90 minutes,0.52,1,5.25,3.75,1.67,6.2,3.8,1.72,5.8,3.8,1.72,5.42,3.61,1.67
