liga,home,away,inicio_utc,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_-1.25,hdp_away_1.25,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,goles_tt_home_2.5_over,goles_tt_home_2.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_11.5_over,corners_total_11.5_under,corners_home_6.5_over,corners_home_6.5_under,corners_away_3.5_over,corners_away_3.5_under,hdp_home_0.5,hdp_away_-0.5,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_4.5_over,corners_away_4.5_under,hdp_home_2.0,hdp_away_-2.0,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under,corners_total_11.0_over,corners_total_11.0_under,corners_home_2.5_over,corners_home_2.5_under,corners_away_6.5_over,corners_away_6.5_under,hdp_home_0.0,hdp_away_-0.0,goles_0.75_over,goles_0.75_under,corners_total_9.5_over,corners_total_9.5_under,hdp_home_-2.0,hdp_away_2.0,corners_away_2.5_over,corners_away_2.5_under,hdp_home_-0.25,hdp_away_0.25,goles_2.25_over,goles_2.25_under,goles_1.25_over,goles_1.25_under,hdp_home_1.5,hdp_away_-1.5,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,corners_total_10.5_over,corners_total_10.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_-0.5,hdp_away_0.5,hdp_home_0.75,hdp_away_-0.75,corners_home_3.5_over,corners_home_3.5_under,hdp_home_2.25,hdp_away_-2.25,goles_3.25_over,goles_3.25_under,hdp_home_-1.75,hdp_away_1.75,corners_home_5.5_over,corners_home_5.5_under
FIFA - World Cup,Bosnia and Herzegovina,Qatar,2026-06-24T19:00:00Z,2026-06-24 15:00,1.4115,7.22,5.23,1.9009,2.0,1.9434,1.9434,1.2488,4.05,2.42,1.578,1.6289,2.3,2.99,1.3145,2.02,1.7407,2.23,1.6061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Ecuador,Germany,2026-06-25T20:00:00Z,2026-06-25 16:00,3.65,1.8929,4.19,,,,,,,,,,,3.21,1.274,,,,,1.9901,1.9009,1.9346,1.9346,1.271,3.76,2.92,1.4167,1.8547,1.9709,2.06,1.7092,1.7634,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Curacao,Ivory Coast,2026-06-25T20:00:00Z,2026-06-25 16:00,16.63,1.1471,7.92,,,1.8264,2.04,1.2128,4.14,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.813,2.38,1.5376,1.813,1.9346,2.87,1.3413,2.33,1.5525,1.813,1.9434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Paraguay,Australia,2026-06-26T02:00:00Z,2026-06-25 22:00,2.93,4.02,2.15,,,,,,,,,1.5952,2.32,,,,,1.8621,1.9009,,,,,1.8403,2.0,,,,,2.17,1.6369,,,,,1.4484,2.73,,,,,,,,,1.6536,2.3,1.2252,4.0,2.91,1.3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Turkiye,USA,2026-06-26T02:00:00Z,2026-06-25 22:00,3.52,1.9434,4.14,,,,,,,,,,,3.17,1.2809,,,,,1.9346,1.9524,1.9524,1.9174,1.2786,3.76,2.9,1.4219,1.8929,1.9259,2.2,1.625,1.7194,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Morocco,Haiti,2026-06-24T22:00:00Z,2026-06-24 18:00,1.1842,15.95,7.1,,,1.8403,2.04,1.2151,4.19,1.8929,1.8929,2.14,1.6944,,,1.9804,1.7812,,,,,,,,,,,,,,,,,,,,,,,3.38,1.2469,,,,,,,,,,,1.9709,1.9091,1.7042,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Switzerland,Canada,2026-06-24T19:00:00Z,2026-06-24 15:00,2.39,3.41,3.11,,,,,,,,,,,3.02,1.3077,,,,,,,,,,,2.34,1.6098,3.03,1.3922,1.7463,2.02,1.8696,1.9009,,,,,,,,,,,,,,,,,,,,,,,2.03,1.885,1.8264,2.08,1.2058,4.58,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Scotland,Brazil,2026-06-24T22:00:00Z,2026-06-24 18:00,7.51,1.3802,5.52,,,,,,,,,,,,,,,,,,,,,,,,,1.5495,2.49,,,,,,,2.06,1.7752,,,,,1.6667,2.13,,,,,,,,,,,,,,,,,,,1.8547,2.06,1.8929,2.0,1.2801,3.75,2.94,1.3257,1.9009,1.8621,,,,,,,,,,,,,,
FIFA - World Cup,Japan,Sweden,2026-06-25T23:00:00Z,2026-06-25 19:00,1.8929,4.5,3.44,,,,,,,,,1.4115,2.95,,,,,,,,,2.0,1.8696,1.2793,3.69,1.813,2.02,,,1.6623,2.13,2.16,1.6494,,,,,,,3.06,1.3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9009,1.9901,,,,,,,,,,,,
FIFA - World Cup,Norway,France,2026-06-26T19:00:00Z,2026-06-26 15:00,4.68,1.6711,4.32,,,,,,,,,,,3.0,1.3135,,,,,,,1.9009,1.9709,1.2632,3.83,,,1.6803,2.21,,,,,,,1.4808,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9524,1.8065,,,2.02,1.8696,1.6803,2.1,,,,,,,,
