liga,home,away,inicio_utc,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_-0.5,hdp_away_0.5,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_11.0_over,corners_total_11.0_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_4.5_over,corners_away_4.5_under,hdp_home_2.25,hdp_away_-2.25,goles_3.25_over,goles_3.25_under,goles_2.25_over,goles_2.25_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under,corners_total_12.0_over,corners_total_12.0_under,corners_home_2.5_over,corners_home_2.5_under,corners_away_6.5_over,corners_away_6.5_under,hdp_home_0.75,hdp_away_-0.75,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_total_11.5_over,corners_total_11.5_under,corners_home_3.5_over,corners_home_3.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_1.0,hdp_away_-1.0,hdp_home_2.5,hdp_away_-2.5,hdp_home_0.0,hdp_away_-0.0,corners_total_10.5_over,corners_total_10.5_under,corners_away_3.5_over,corners_away_3.5_under,hdp_home_-0.75,hdp_away_0.75,goles_1.25_over,goles_1.25_under,corners_home_5.5_over,corners_home_5.5_under,hdp_home_-0.25,hdp_away_0.25,goles_0.75_over,goles_0.75_under,corners_total_9.5_over,corners_total_9.5_under,goles_2.0_over,goles_2.0_under,goles_1.0_over,goles_1.0_under,corners_total_10.0_over,corners_total_10.0_under,hdp_home_0.5,hdp_away_-0.5,hdp_home_-1.75,hdp_away_1.75,goles_3.0_over,goles_3.0_under,goles_tt_home_2.5_over,goles_tt_home_2.5_under,corners_away_2.5_over,corners_away_2.5_under
FIFA - World Cup,Japan,Sweden,2026-06-25T23:00:00Z,2026-06-25 19:00,1.8696,4.7,3.48,1.8772,2.04,1.8547,2.04,1.2571,3.96,1.8333,1.9901,1.4505,2.79,3.08,1.2976,1.6711,2.12,2.16,1.6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Panama,England,2026-06-27T21:00:00Z,2026-06-27 17:00,15.29,1.1645,8.12,,,,,,,,,,,,,,,,,1.8264,2.05,1.9009,1.9524,1.2994,3.37,2.18,1.6849,1.7752,2.05,3.18,1.2793,1.8333,1.9346,1.7246,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Norway,France,2026-06-26T19:00:00Z,2026-06-26 15:00,4.93,1.6289,4.41,,,,,,,,,,,,,,,,,,,,,,,1.4926,2.65,,,,,,,,,2.1,1.8065,1.8621,2.01,1.2532,3.92,1.6369,2.29,3.0,1.3115,1.6803,2.11,1.9615,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Uruguay,Spain,2026-06-27T00:00:00Z,2026-06-26 20:00,7.34,1.5051,4.11,,,1.8621,2.01,1.2591,3.87,,,,,,,,,,,,,,,,,1.7194,2.15,,,,,,,,,,,,,,,1.6211,2.32,3.15,1.2841,1.9901,1.7692,1.8264,1.9346,2.03,1.8621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Tunisia,Netherlands,2026-06-25T23:00:00Z,2026-06-25 19:00,26.0,1.1111,11.0,,,,,,,,,,,,,,,,,,,1.8403,2.04,1.2703,3.64,2.5,1.4926,1.578,2.29,,,1.885,1.885,1.8475,1.9174,,,,,,,,,2.96,1.3205,,,,,,,1.9524,1.9346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,2026-06-26 20:00,2.49,2.89,3.42,,,2.07,1.8197,1.3268,3.35,2.49,1.5464,,,,,2.05,1.7194,,,,,,,,,,,,,,,,,,,,,,,,,2.79,1.4505,,,,,,,,,,,1.8065,2.1,3.09,1.2959,1.6623,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Croatia,Ghana,2026-06-27T21:00:00Z,2026-06-27 17:00,1.7874,5.8,3.23,,,,,,,2.05,1.7874,1.7463,2.1,,,,,,,,,,,2.01,1.8621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,1.3165,2.03,1.7353,2.03,1.8621,1.2625,3.84,2.17,1.641,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Paraguay,Australia,2026-06-26T02:00:00Z,2026-06-25 22:00,2.82,4.06,2.2,,,,,,,,,1.6369,2.24,,,2.22,1.6135,,,,,,,,,1.4464,2.73,,,,,,,,,,,,,1.8547,1.9804,,,,,,,,,,,,,,,,,1.8547,1.9091,,,,,,,2.24,1.6897,1.2247,4.01,2.94,1.3257,,,,,,,,,,,,,,,,
FIFA - World Cup,Ecuador,Germany,2026-06-25T20:00:00Z,2026-06-25 16:00,5.13,1.5319,5.27,,,,,,,,,,,,,2.09,1.6897,1.7299,2.04,,,,,,,1.5464,2.5,,,,,,,,,,,1.8264,2.08,1.2475,4.06,1.5682,2.44,3.17,1.2801,,,,,2.01,1.8929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Egypt,Iran,2026-06-27T03:00:00Z,2026-06-26 23:00,2.47,3.85,2.59,,,,,,,2.98,1.3861,1.5747,2.37,,,2.24,1.6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.813,1.9434,,,,,,,2.03,1.8333,,,,,2.06,1.7937,1.1949,4.46,3.37,1.2488,,,,,,,,,,
FIFA - World Cup,Turkiye,USA,2026-06-26T02:00:00Z,2026-06-25 22:00,3.74,1.8475,4.3,,,,,,,2.98,1.4032,,,,,2.22,1.6098,1.6944,2.09,,,,,,,,,,,,,,,,,,,1.9009,1.9709,1.2591,3.87,1.8065,2.02,3.15,1.2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,1.8547,,,,,,,,
FIFA - World Cup,Senegal,Iraq,2026-06-26T19:00:00Z,2026-06-26 15:00,1.2268,11.85,6.67,,,,,,,,,1.9804,1.8333,3.36,1.2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7042,2.07,,,,,,,1.2079,4.2,,,,,,,1.8696,2.01,1.8333,2.03,2.0,1.8065,1.6098,2.22
FIFA - World Cup,New Zealand,Belgium,2026-06-27T03:00:00Z,2026-06-26 23:00,16.32,1.1647,7.85,,,,,,,,,,,,,,,,,1.8333,2.05,1.9709,1.8772,1.3067,3.32,2.24,1.6494,1.7752,2.04,3.26,1.2653,1.5848,2.27,1.8547,1.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Curacao,Ivory Coast,2026-06-25T20:00:00Z,2026-06-25 16:00,18.03,1.1364,8.21,,,,,,,,,,,2.91,1.3322,,,,,1.8621,2.03,2.04,1.8403,1.3413,3.16,2.43,1.5208,1.7752,1.9804,,,2.27,1.5848,1.8264,1.9346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFA - World Cup,Colombia,Portugal,2026-06-27T23:30:00Z,2026-06-27 19:30,4.28,1.8197,3.88,,,2.06,1.8197,1.3344,3.3,,,,,2.97,1.3175,,,1.6623,2.14,,,,,,,1.5618,2.46,,,,,,,,,,,,,,,2.02,1.813,,,1.8065,1.9615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.8264,,,,,,,,
FIFA - World Cup,DR Congo,Uzbekistan,2026-06-27T23:30:00Z,2026-06-27 19:30,1.7519,4.25,4.24,,,1.9091,1.9615,1.2801,3.68,1.885,1.9346,1.5208,2.56,,,1.6897,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,1.3448,1.9804,1.7812,1.9901,1.8929,,,,,,,,,,,,,,,,,,,,,,,,,,
