liga,pais,partido_id,home,away,inicio_utc,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home,hdp_home_odds,hdp_away,hdp_away_odds,total_2.75_over,total_2.75_under,total_1.75_over,total_1.75_under,tt_home_1.5_over,tt_home_1.5_under,tt_away_0.5_over,tt_away_0.5_under,total_3.0_over,total_3.0_under,total_2.0_over,total_2.0_under,tt_away_1.5_over,tt_away_1.5_under,total_2.5_over,total_2.5_under,total_1.5_over,total_1.5_under,total_3.25_over,total_3.25_under,total_2.25_over,total_2.25_under,tt_home_2.5_over,tt_home_2.5_under,total_3.5_over,total_3.5_under,tt_away_2.5_over,tt_away_2.5_under,total_3.75_over,total_3.75_under,total_4.75_over,total_4.75_under,tt_home_3.5_over,tt_home_3.5_under
Premier League,Inglaterra,1629938408,Brentford,Crystal Palace,2026-05-17T14:00:00Z,2026-05-17 10:00,1.6711,4.7,4.42,-0.75,1.8621,0.75,2.05,1.8403,2.06,1.2519,4.09,1.6494,2.29,1.4673,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Inglaterra,1629916014,Manchester United,Nottingham Forest,2026-05-17T11:30:00Z,2026-05-17 07:30,1.6667,4.84,4.35,-0.75,1.8333,0.75,2.08,,,,,1.5988,2.39,1.4505,2.83,2.01,1.8772,1.2717,3.93,,,,,,,,,,,,,,,,,,,,,,
Premier League,Inglaterra,1629944666,Newcastle United,West Ham United,2026-05-17T16:30:00Z,2026-05-17 12:30,2.2,3.17,3.79,-0.25,1.9259,0.25,1.9804,,,,,1.8,2.05,,,1.8621,2.04,1.2315,4.37,2.21,1.6897,,,,,,,,,,,,,,,,,,,,
Premier League,Inglaterra,1629938411,Wolverhampton,Fulham,2026-05-17T14:00:00Z,2026-05-17 10:00,3.75,1.9434,3.96,0.5,1.9524,-0.5,1.9524,2.01,1.885,1.2959,3.68,3.01,1.4065,,,,,,,1.8929,1.9434,,,,,,,,,,,,,,,,,,,,
Premier League,Inglaterra,1629931400,Leeds United,Brighton,2026-05-17T14:00:00Z,2026-05-17 10:00,3.39,2.12,3.75,0.25,2.06,-0.25,1.8547,1.8403,2.06,1.2481,4.17,2.46,1.5714,,,,,,,1.9259,1.9091,,,,,,,,,,,,,,,,,,,,
Premier League,Inglaterra,1629938410,Everton,Sunderland,2026-05-17T14:00:00Z,2026-05-17 10:00,1.8333,4.26,3.92,-0.5,1.8403,0.5,2.08,,,,,1.8621,1.9804,1.4651,2.78,,,,,,,1.8475,2.05,1.2639,4.0,,,,,,,,,,,,,,,,
La Liga,España,1629949809,Brest,Angers,2026-05-17T19:00:00Z,2026-05-17 15:00,1.8333,4.18,3.74,-0.5,1.8403,0.5,2.02,,,,,1.8621,1.9259,1.4651,2.67,,,,,,,1.8475,2.0,1.266,3.74,,,,,,,,,,,,,,,,
La Liga,España,1629956870,Strasbourg,Monaco,2026-05-17T19:00:00Z,2026-05-17 15:00,3.03,2.12,4.0,0.25,1.9709,-0.25,1.885,,,,,2.03,1.7752,,,,,,,1.6803,2.17,,,,,1.8475,1.9901,1.2941,3.51,,,,,,,,,,,,
La Liga,España,1629949469,Marseille,Rennes,2026-05-17T19:00:00Z,2026-05-17 15:00,2.02,3.48,3.71,-0.5,2.03,0.5,1.8333,,,,,1.7353,2.08,,,1.885,1.9524,1.232,4.07,2.4,1.5618,,,,,,,,,,,,,,,,,,,,
La Liga,España,1629949470,Lyon,Lens,2026-05-17T19:00:00Z,2026-05-17 15:00,1.6944,4.29,4.33,-0.75,1.8929,0.75,1.9615,,,,,1.5556,2.42,,,1.8772,1.9615,1.2237,4.17,2.8,1.4292,,,,,,,,,,,,,,,,,,,,
La Liga,España,1629949466,Lille,Auxerre,2026-05-17T19:00:00Z,2026-05-17 15:00,1.3584,8.25,4.99,-1.25,1.8403,1.25,2.02,1.9009,1.9346,1.2646,3.75,,,1.7752,2.02,,,,,,,,,,,,,,,2.51,1.5208,,,,,,,,,,
La Liga,España,1629949467,Lorient,Le Havre,2026-05-17T19:00:00Z,2026-05-17 15:00,2.64,2.59,3.52,0.0,1.9434,-0.0,1.9091,,,,,2.43,1.5525,,,,,,,2.42,1.5525,1.9091,1.9259,1.2762,3.65,,,,,,,,,,,,,,,,
La Liga,España,1629949807,Nice,Metz,2026-05-17T19:00:00Z,2026-05-17 15:00,1.3135,9.07,5.39,-1.5,1.9709,1.5,1.8772,,,,,,,1.6993,2.14,1.9174,1.9174,1.25,3.89,,,,,,,,,,,2.26,1.6289,,,,,,,,,,
La Liga,España,1629949808,Nantes,Toulouse,2026-05-17T19:00:00Z,2026-05-17 15:00,2.57,2.63,3.58,0.0,1.9009,-0.0,1.9524,1.9709,1.8696,1.2755,3.66,2.27,1.6211,,,,,,,2.28,1.6173,,,,,,,,,,,,,,,,,,,,
La Liga,España,1629949805,Paris FC,Paris Saint-Germain,2026-05-17T19:00:00Z,2026-05-17 15:00,4.75,1.5988,4.56,1.0,1.885,-1.0,1.9615,,,,,2.55,1.5051,,,,,,,,,1.3802,3.01,,,,,,,,,1.9709,1.8621,2.35,1.5848,,,,,,
Bundesliga,Alemania,1629809028,Eintracht Frankfurt,Stuttgart,2026-05-16T13:30:00Z,2026-05-16 09:30,3.55,1.8929,4.42,0.5,2.0,-0.5,1.9091,1.365,3.22,,,2.0,1.8403,,,,,,,,,,,,,,,,,,,,,2.45,1.5747,1.9615,1.9259,,,,
Bundesliga,Alemania,1629804555,Borussia Monchengladbach,Hoffenheim,2026-05-16T13:30:00Z,2026-05-16 09:30,4.52,1.6623,4.68,1.0,1.8547,-1.0,2.06,,,,,2.39,1.6024,,,,,,,,,1.3509,3.3,,,,,,,,,1.8929,1.9901,2.3,1.641,,,,,,
Bundesliga,Alemania,1629791966,Bayern Munich,FC Koln,2026-05-16T13:30:00Z,2026-05-16 09:30,1.1513,14.65,9.63,-2.5,1.8696,2.5,2.02,,,,,,,1.4274,2.88,,,,,,,,,,,,,,,,,,,,,1.3571,3.16,1.9346,1.9346,1.8197,2.01
Bundesliga,Alemania,1629791968,Freiburg,RB Leipzig,2026-05-16T13:30:00Z,2026-05-16 09:30,2.61,2.46,4.1,0.0,2.01,-0.0,1.8929,,,,,1.8772,1.9615,,,,,,,1.813,2.04,,,,,1.8547,2.04,1.295,3.69,,,,,,,,,,,,
