liga,pais,partido_id,home,away,inicio_utc,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home,hdp_home_odds,hdp_away,hdp_away_odds,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,goles_3.25_over,goles_3.25_under,goles_2.25_over,goles_2.25_under,goles_tt_home_2.5_over,goles_tt_home_2.5_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under
Premier League,Inglaterra,1629938411,Wolverhampton,Fulham,2026-05-17T14:00:00Z,2026-05-17 10:00,3.86,1.9259,3.91,0.5,1.9709,-0.5,1.9346,2.01,1.8772,1.295,3.69,1.4132,2.98,1.8772,1.9615,,,,,,,,,,,,,,,,,,,,
Premier League,Inglaterra,1629931400,Leeds United,Brighton,2026-05-17T14:00:00Z,2026-05-17 10:00,3.38,2.12,3.74,0.25,2.06,-0.25,1.8547,1.8403,2.06,1.2475,4.17,,,1.9259,1.9091,2.48,1.5618,,,,,,,,,,,,,,,,,,
Premier League,Inglaterra,1629916014,Manchester United,Nottingham Forest,2026-05-17T11:30:00Z,2026-05-17 07:30,1.6494,4.96,4.36,-1.0,2.07,1.0,1.8475,,,,,,,,,1.5882,2.42,2.0,1.885,1.2688,3.96,1.4608,2.79,,,,,,,,,,,,
Premier League,Inglaterra,1629944666,Newcastle United,West Ham United,2026-05-17T16:30:00Z,2026-05-17 12:30,2.22,3.14,3.76,-0.25,1.9524,0.25,1.9524,,,,,,,2.22,1.6849,1.8264,2.02,1.8929,2.0,1.2404,4.26,,,,,,,,,,,,,,
Premier League,Inglaterra,1629938408,Brentford,Crystal Palace,2026-05-17T14:00:00Z,2026-05-17 10:00,1.6897,4.62,4.37,-0.75,1.885,0.75,2.02,1.8621,2.04,1.2571,4.04,,,,,1.6667,2.25,,,,,1.463,2.78,,,,,,,,,,,,
Premier League,Inglaterra,1629938410,Everton,Sunderland,2026-05-17T14:00:00Z,2026-05-17 10:00,1.8547,4.19,3.87,-0.5,1.8696,0.5,2.05,,,,,,,,,1.8696,1.9615,,,,,1.4525,2.82,1.8403,2.06,1.2625,4.02,,,,,,,,
La Liga,España,1629949808,Nantes,Toulouse,2026-05-17T19:00:00Z,2026-05-17 15:00,2.6,2.61,3.56,0.0,1.9346,-0.0,1.9346,2.0,1.8547,1.2882,3.62,,,2.3,1.6211,2.32,1.6098,,,,,,,,,,,,,,,,,,
La Liga,España,1629949467,Lorient,Le Havre,2026-05-17T19:00:00Z,2026-05-17 15:00,2.64,2.59,3.51,0.0,1.9524,-0.0,1.9174,,,,,,,2.43,1.5587,2.44,1.5587,,,,,,,1.9174,1.9346,1.2801,3.68,,,,,,,,
La Liga,España,1629956870,Strasbourg,Monaco,2026-05-17T19:00:00Z,2026-05-17 15:00,3.05,2.15,3.88,0.25,1.9615,-0.25,1.9009,,,,,,,1.7519,2.07,2.13,1.7194,,,,,,,,,,,1.9709,1.885,1.3425,3.25,,,,
La Liga,España,1629949470,Lyon,Lens,2026-05-17T19:00:00Z,2026-05-17 15:00,1.7092,4.33,4.2,-0.75,1.9259,0.75,1.9434,,,,,,,2.89,1.4167,1.5882,2.37,1.9434,1.9091,1.2457,4.0,,,,,,,,,,,,,,
La Liga,España,1629949807,Nice,Metz,2026-05-17T19:00:00Z,2026-05-17 15:00,1.303,9.37,5.46,-1.5,1.9524,1.5,1.9174,,,,,,,,,,,1.9259,1.9259,1.2551,3.91,1.7299,2.1,,,,,,,,,2.25,1.6452,,
La Liga,España,1629949809,Brest,Angers,2026-05-17T19:00:00Z,2026-05-17 15:00,1.8333,4.18,3.72,-0.5,1.8475,0.5,2.03,,,,,,,,,1.8772,1.9259,,,,,1.4739,2.67,1.8621,1.9901,1.2725,3.75,,,,,,,,
La Liga,España,1629949805,Paris FC,Paris Saint-Germain,2026-05-17T19:00:00Z,2026-05-17 15:00,4.85,1.5882,4.54,1.0,1.9091,-1.0,1.9615,,,,,,,,,2.67,1.4739,,,,,,,,,,,1.8403,2.02,1.2874,3.62,,,2.41,1.5682
La Liga,España,1629949469,Marseille,Rennes,2026-05-17T19:00:00Z,2026-05-17 15:00,2.04,3.44,3.69,-0.5,2.06,0.5,1.8197,,,,,,,2.43,1.5587,1.7752,2.05,1.9346,1.9174,1.2481,3.98,,,,,,,,,,,,,,
La Liga,España,1629949466,Lille,Auxerre,2026-05-17T19:00:00Z,2026-05-17 15:00,1.3663,8.13,4.95,-1.25,1.8621,1.25,2.01,1.9091,1.9434,1.2695,3.77,,,,,,,,,,,1.7752,2.04,,,,,,,,,2.54,1.5208,,
